Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GSF-GSF,142130,256660817,45.96148471,25.33080804,-20.06464553,-32.68360813,32.3147,-0.889423,-0.669908,-1,34.28802027,-27.66225124,13.5626341,15.05068592,30.8082,0.470928,2.68574,1,77.98301946
GSF-GSF,142130,51601374,70.29172634,-24.54575702,-14.34034954,64.28675586,28.4278,1.55478,-2.61285,1,50.24296527,25.87224487,15.69377409,-40.10845246,30.26,-1.09388,0.545249,-1,118.069599
GSF-GSF,142130,13447411,73.15197143,30.3021893,20.56321151,63.32568657,36.6206,1.31555,0.596222,1,32.32430467,-26.59487744,-18.28575277,-1.790087116,32.2747,-0.0554357,-2.53926,-1,85.55515087
GSF-GSF,142130,437632346,67.56938986,13.4573827,18.46998044,63.58758621,22.8526,1.74733,0.941127,1,31.47080933,-14.52340548,-20.41405211,-19.04597095,25.0532,-0.701304,-2.18916,-1,88.43127133
GSF-GSF,142132,20495851,71.29199426,17.1239359,-45.52037855,-52.12690669,48.6347,-0.931247,-1.21099,-1,37.12206522,14.73642407,33.07920283,8.164059744,36.2132,0.223577,1.1517,1,93.01081115
GSF-GSF,142132,17092265,59.83457488,57.18240567,10.75159918,-13.9553555,58.1844,-0.237605,0.185853,-1,35.54857191,-27.40265465,-22.61283723,-1.206264967,35.5281,-0.0339459,-2.45167,1,88.54686566
GSF-GSF,142132,37994941,52.78588961,2.763769053,23.63304414,-47.11890222,23.7941,-1.43478,1.45438,-1,43.49309955,-1.436467001,-39.73694476,17.62275494,39.7629,0.429837,-1.60693,1,90.2137667
GSF-GSF,142132,29433181,68.37459875,-27.85012413,14.83070375,60.65893641,31.5528,1.40841,2.65227,1,41.93583297,34.76230669,-21.62841778,9.077866746,40.9415,0.21995,-0.556569,-1,84.91868139
GSF-GSF,142132,125681687,99.3441813,0.151741103,20.94005021,-97.11208797,20.9406,-2.23875,1.56355,-1,24.15762593,-12.36442143,-16.93415265,11.99776841,20.9677,0.544843,-2.20147,1,88.56100846
GSF-GSF,142135,43756464,78.34523982,35.5828256,25.44165044,-64.9966272,43.7426,-1.18691,0.620721,1,45.91384361,-32.57358087,-22.6903798,-23.06923338,39.6975,-0.552573,-2.53316,-1,87.56768223
GSF-GSF,142135,93553680,182.351124,35.95675546,18.3525568,-177.826398,40.3696,-2.18852,0.471938,1,104.9937465,-44.48462013,-21.34510202,-92.67789377,49.3406,-1.38786,-2.69421,-1,96.50296854
GSF-GSF,142135,2366596,113.7433462,-36.02575149,27.06896883,104.4364158,45.062,1.57728,2.49721,1,64.72460697,1.204440215,-48.232564,43.14445319,48.2476,0.804572,-1.54583,-1,91.70755647
GSF-GSF,142136,60806414,94.66668019,-6.912112577,-23.18122352,91.52395268,24.1898,2.04084,-1.86058,1,27.15721969,3.914767052,25.25822589,-9.176666328,25.5598,-0.35173,1.41703,-1,89.70333881
GSF-GSF,142136,80453392,64.34561202,41.96768156,2.433919465,-48.71496204,42.0382,-0.989345,0.0579302,-1,39.46842534,-38.59835999,7.948629767,-2.177725775,39.4083,-0.0552325,2.9385,1,89.82282017
GSF-GSF,142136,126243064,287.4489201,52.52232425,5.141712032,-282.5630016,52.7734,-2.37965,0.0975848,-1,130.4638893,-37.65113524,-15.13940092,-123.9920037,40.5809,-1.83583,-2.75928,1,95.09488874
